Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes,Home_Clean,Away_Clean,Home_Score,Away_Score,Leg 1,Leg 2,Extra Time Required,Home_Score_2,Away_Score_2,Home_Pens,Away_Pens
Group stage,3,Wed,05-10-2022,20:00,Benficapt,1.4,1–1,1,frParis S-G,"62,295",Estádio do Sport Lisboa e Benfica,Jesús Gil,Match Report,,Benfica,Paris S-G,1,1,0,0,0,,,,
Group stage,3,Wed,05-10-2022,20:00,Manchester Cityeng,4.3,5–0,0.4,dkFC Copenhagen,"51,765",Etihad Stadium,Donatas Rumšas,Match Report,,Manchester City,FC Copenhagen,5,0,0,0,0,,,,
Group stage,3,Wed,05-10-2022,21:00,Real Madrides,3.4,2–1,0.8,uaShakhtar,"56,011",Estadio Santiago Bernabéu,Ivan Kružliak,Match Report,,Real Madrid,Shakhtar,2,1,0,0,0,,,,
Group stage,3,Wed,05-10-2022,21:00,Sevillaes,2,1–4,2.5,deDortmund,"34,598",Estadio Ramón Sánchez Pizjuán,Maurizio Mariani,Match Report,,Sevilla,Dortmund,1,4,0,0,0,,,,
Group stage,3,Wed,05-10-2022,21:00,Juventusit,2.3,3–1,2,ilMaccabi Haifa,"28,498",Allianz Stadium,Sandro Schärer,Match Report,,Juventus,Maccabi Haifa,3,1,0,0,0,,,,
,,,,,,,,,,,,,,,#VALUE!,,,,,,,,,,
Group stage,4,Tue,11-10-2022,18:45,FC Copenhagendk,0.3,0–0,1.6,engManchester City,"35,447",Parken,Artur Dias,Match Report,,FC Copenhagen,Manchester City,0,0,0,0,0,,,,
Group stage,4,Tue,11-10-2022,19:45,Maccabi Haifail,0.8,2–0,0.5,itJuventus,"30,074",Sammy Ofer Stadium,Antonio Matéu Lahoz,Match Report,,Maccabi Haifa,Juventus,2,0,0,0,0,,,,
Group stage,4,Tue,11-10-2022,20:00,Celticsct,2,0–2,1.7,deRB Leipzig,"57,565",Celtic Park,Halil Umut Meler,Match Report,,Celtic,RB Leipzig,0,2,0,0,0,,,,
Group stage,4,Tue,11-10-2022,21:00,Dortmundde,0.4,1–1,0.8,esSevilla,"81,000",Signal Iduna Park,Srđan Jovanović,Match Report,,Dortmund,Sevilla,1,1,0,0,0,,,,
Group stage,4,Tue,11-10-2022,21:00,Paris S-Gfr,1.2,1–1,1.2,ptBenfica,"46,435",Parc des Princes,Michael Oliver,Match Report,,Paris S-G,Benfica,1,1,0,0,0,,,,
Group stage,4,Tue,11-10-2022,21:00,Milanit,0.4,0–2,2.2,engChelsea,"75,051",Stadio Giuseppe Meazza,Daniel Siebert,Match Report,,Milan,Chelsea,0,2,0,0,0,,,,
